,"WARNING:  These products can expose you to chemicals including Styrene, which is known to the",,,,,,,
,"State of California to cause cancer, and 1,3-Butadiene, which is known to the State of California to cause",,,,,,,
,birth defects and other reproductive harm.  For more information go to www.P65warnings.ca.gov. ,,,,,,,
,"Products, specifications, prices and availability subject to change without notice.  Per the U.S. Consumer",,,,,,,
,"Product Safety Improvement Act of 2008, these products are not toys and are not intended for",,,,,,,
,"children under 14 years of age.  © 2022 PIKO America, LLC.",,,,,,,
,,,,,,,,
2022 PIKO America Retailer Cost List:    06-10-22,,,,,,,,
*MAP = Minimum Advertised Price  - See PIKO America MAP Policy for Info.,,,,,,,,
2022 New Items in Bold Text,,,,,,,,
,,,,,,,,
,,Remarks/New Items,,2022,2022,2022,,
Item #,Description,Estimated Arrival,,Ret.Cost,MSRP,MAP*,,EAN # (Bar Code)
,,,,,,,,
,CATALOGS & FLYERS,,,,,,,
38918,SF Rib-Side Hopper 750219 w/Coal Load,Available,,$46.19,$76.99,$61.59,,4015615389187
38919,"UP Offset Hopper 27519 ""Flag"" w/Coal Load",Very Limited,,$46.19,$76.99,$61.59,,4015615389194
38921,"Vintage Warbirds Hopper, B-25",Limited,,$63.59,$105.99,$84.79,,4015615389217
38922,American Traditions Betsy Ross Reefer,Available,,$74.99,$124.99,$99.99,,4015615389224
38923,American Traditions Baseball Reefer,Available,,$74.99,$124.99,$99.99,,4015615389231
38924,Chessie-C&O Rib-Side Hopper 150355 w/Coal Load,Available,,$46.19,$76.99,$61.59,,4015615389248
38925,"Vintage Warbirds Hopper, SBD Dauntless",Limited,,$63.59,$105.99,$84.79,,4015615389255
38926,SF Steel Boxcar 11527,Available,,$58.79,$97.99,$78.39,,4015615389262
38928,Vintage Warbirds Spitfire Hopper,Available,,$63.59,$105.99,$84.79,,4015615389286
38931,"D&RGW Ore Car, 2-Pack",Q3,,$74.99,$124.99,$99.99,,4015615389316
38933,"Chessie-B&O Ore Car, 2-Pack",Q3,,$74.99,$124.99,$99.99,,4015615389330
38934,CSX Rib-Side Hopper 811001 w/Coal Load,Q3,,$46.19,$76.99,$61.59,,4015615389347
38935,Easter Egg Mine Hopper,Available,,$63.59,$105.99,$84.79,,4015615389354
38940,Vintage Warbirds C-47 Hopper,Available,,$63.59,$105.99,$84.79,,4015615389408
38941,American Traditions John Henry Reefer,Q4,,$74.99,$124.99,$99.99,,4015615389415
38942,American Traditions Independence Reefer,Available,,$74.99,$124.99,$99.99,,4015615389422
38945,SF Wood Caboose 1208,Q3,,$62.99,$104.99,$83.99,,4015615389453
38946,PRR Wood Caboose 471903,Q4,,$62.99,$104.99,$83.99,,4015615389460
38947,D&RGW Wood Caboose 0524,Available,,$62.99,$104.99,$83.99,,4015615389477
38948,"UP Wood Caboose 25115, Elk",Available,,$62.99,$104.99,$83.99,,4015615389484
,,,,,,,,
,EUROPEAN LOCOS,,,,,,,
37202,"DB III BR80 Steam Loco, Black/Red ",Available,,$191.99,$319.99,$255.99,,4015615372028
37210,DB III BR64 Steam Loco,Available,,$647.99,"$1,079.99",$863.99,,4015615372103
37212,ÖBB III BR64 Steam Loco,Available,,$647.99,"$1,079.99",$863.99,,4015615372127
37222,DR IV BR24 Steam Loco,Available,,$749.99,"$1,249.99",$999.99,,4015615372226
37231,DR IV-V BR95 Steam Loco w/Sound,Available,,$839.99,"$1,399.99","$1,119.99",,4015615372318
37232,"DR III BR 95 Steam Loco, Neubau w/Sound",Q3,,$839.99,"$1,399.99","$1,119.99",,4015615372325
37240,DR IV BR 50 Reko Steam Loco,Very Limited,,$929.99,"$1,549.99","$1,239.99",,4015615372400
37242,DB IV BR50 Steam Loco,Available,,$929.99,"$1,549.99","$1,239.99",,4015615372424
37243,DB IV BR50 Steam Loco w/Sound,Available,,"$1,124.99","$1,874.99","$1,499.99",,4015615372431
37244,DRG II BR050 Steam Loco,Available,,$929.99,"$1,549.99","$1,239.99",,4015615372448
37245,DRG II BR050 Steam Loco w/Sound,Available,,"$1,124.99","$1,874.99","$1,499.99",,4015615372455
37250,DR III BR 94 Steam Loco,Q4,,$809.99,"$1,349.99","$1,079.99",,4015615372509
37251,DR III BR 94 Steam Loco w/Sound,Q4,,$959.99,"$1,599.99","$1,279.99",,4015615372516
37308,"DB III VT 98 Railbus, Single Unit",Q3,,$365.99,$609.99,$487.99,,4015615373087
37309,"DB IV BR798 Railbus & Trailer, Mint Green w/Sound",Q4,,$437.99,$729.99,$583.99,,4015615373094
37320,DB III TEE Diesel VT11.5 3-Unit Train,Available,,$869.99,"$1,449.99","$1,159.99",,4015615373209
37330,DB IV Glass Train,September,,$887.99,"$1,479.99","$1,183.99",,4015615373308
37331,DB IV Glass Train w/Sound,September,,"$1,001.99","$1,669.99","$1,335.99",,4015615373315
37400,ÖBB VI Rh1116 Taurus Electric Railjet w/Sound,Available,,$485.99,$809.99,$647.99,,4015615374008
37429,Flixtrain VI Taurus Electric,Q3,,$299.99,$499.99,$399.99,,4015615374299
37432,DR IV BR254 Crocodile Electric Loco,Available,,$599.99,$999.99,$799.99,,4015615374329
37436,DB III E94 Electric ,September,,$599.99,$999.99,$799.99,,4015615374367
37440,DB IV BR103 Electric Loco,Q4,,$539.99,$899.99,$719.99,,4015615374404
37441,DB IV BR103 Orient Red w/Bib,Available,,$539.99,$899.99,$719.99,,4015615374411
37442,RailAdventure VI BR103 Electric Loco w/Sound,Available,,$599.99,$999.99,$799.99,,4015615374428
